Название проекта;Адрес;latitude;longitude;Класс;Дата строительства;Общая площадь;Арендуемая офисная площадь;Доля вакантных площадей;Количество этажей;Ставка аренды;Статус;Тип данных
Арт Центр Ташкент Плаза;ул. Амира Темура, 106;41.336428; 69.280017;;;;;;2;12;Нет данных;ТЦ
ДЕПО Mall;бывшее Чиланзарское трамвайное депо №2;41.27308; 69.16931;;2021;57363;33895;н/д ;;;Существующий;ТЦ
Супер Центр;пр. Амира Темура;41.31977; 69.28545;;;3000;2250;Строится;2;35;Нет данных;ТЦ
ТРЦ «Vega Centre» на Южном вокзале; ул. Шота Руставели, 150;41.26011; 69.22361;;2014;11158;8368,5;Строится;6;10;Существующий;ТЦ
"ТЦ ""Авиатор""";ул. Эльбек, 61;41.299; 69.30274;;2016;;;н/д ;;;Существующий;ТЦ
ТЦ Зарафшан;ул. Матбуотчилар, 17;41.31228; 69.2735;;2010;;;нет вакантных площадей;2;40;Существующий;ТЦ
ТЦ Магнит;ул. Абдурауфа Фитрата, 2;41.27298; 69.30939;;2011;;;н/д ;5;30;Существующий;ТЦ
ТЦ Шедевр;ул. Алишера Навои, 11В;41.31825; 69.27581;;2016;;;;2;;Существующий;ТЦ
ЦУМ;пр. Узбекистан, 17;41.30792; 69.27023;;2018;;;Строится;3;40;Существующий;ТЦ
Afsona;ул. Беруни, 1А;41.3353; 69.21304;;;3300;2700;н/д ;3;50;Нет данных;ТЦ
Anhor Park;Шайхантахурский р-н, Лабзак, дом 12/1;41.32747; 69.2651;;2017;5998;4669;н/д ;;;Существующий;ТЦ
Atlas «Чимган»;проспект Темура Малика, 3А;41.35382; 69.35353;;2020;22000;16500;;;;Существующий;ТЦ
ATLAS CHILANZAR;ул Катартал 28;41.28131; 69.20153;;2017;15000;12400;1 250 кв. м;4;15;Существующий;ТЦ
Atlas Yunusobod;ул. Юнусота, 119;41.37193; 69.3116;;2018;;;н/д ;;;Существующий;ТЦ
Atrium trade center;Махтумкули 3/6;41.30451; 69.30761;;2019;;;;;;Существующий;ТЦ
Central Mall (Central Plaza);Ташкент-Сити, Лот 2;41.3196; 69.25169;;2022;53300;23600;;4;;Строится;ТЦ
Chilonzor Savdo Markazi;ул. Чиланзарская, 55;41.28304; 69.22227;;;6200;4500;;2;15;Нет данных;ТЦ
COMPASS;ул. Фаргона Йули (мост «Кулюк») и ТКАД;41.23902; 69.32866;;2018;35377;19625;;2;25;Существующий;ТЦ
ESKI SHAHAR;пересечение ул. Чигатай и Нурафшон ;41.33787; 69.22305;;2018;14657;11108;;3;н/д;Существующий;ТЦ
Integro;пр-т БУНЁДКОР, 52;41.2772; 69.20517;;2020;;;;;;Существующий;ТЦ
MEGA PLANET;ул. А.Дониша, 2Б;41.36725; 69.29101;;2010;25000;17000;;4;20;Существующий;ТЦ
Mercato;Малая Кольцевая Дорога, 19-55;41.33853; 69.27187;;2012;;;;2;35;Существующий;ТЦ
NEXT;ул. Бабура, 5;41.29786; 69.24945;;2013;25000;14000;;5;75;Существующий;ТЦ
Parus;ул. Катартал 60;41.29197; 69.21099;;2015;;;;6;;Существующий;ТЦ
Piramit Mall;"ул. Ш. Руставели
Яккасарайский район, 53Б,";41.28148; 69.25494;;2023;38000;28500;;5;;Строится;ТЦ
POYTAHT;ул Матбуотчилар, 9 ;41.31137; 69.27544;;2010;20000;15000;;3;13;Существующий;ТЦ
RIVIERA ;Пересечение ул. Нурафшан и ул. Себзар;41.33926; 69.25457;;2020;40370;20150;;3;н/д;Существующий;ТЦ
SAMARQAND DARVOZA;ул. Коратош, 5А;41.31623; 69.23122;;2014;41809;31000;;6;12;Существующий;ТЦ
Sampi Bozori;Юнусабадский район, улица Богишамол, 260-А;41.35526; 69.33373;;2020;17708;13281;;5;;Существующий;ТЦ
Seoul Mun;Набережная канала Бурджар, ул Бобура возле ТЦ Next;41.29938; 69.24535;;2023;22000;16500;;3;;Строится;ТЦ
Shahar Outlet;Пересечение Нурафшон и Чигатай;41.33787; 69.22305;;2018;14657;11108;;;;Существующий;ТЦ
Tashkent City Mall;Ташкент-Сити, Лот 3;41.3162; 69.25225;;2023;250000;100500;;5;;Строится;ТЦ
Uchtepa Outlet Centre;ул. Фархадская, 31;41.29239; 69.1809;;2018;;;;1;10;Существующий;ТЦ
Yangiobod Bazaar;;41.25902425627684;69.35306713323094;;;;;;;;;bazar
Qo'yliq Bazaar;;41.23652892544433;69.32958847535697;;;;;;;;;bazar
Farkhad Bazaar;;41.28553270762557;69.18981407498842;;;;;;;;;bazar
Alay Bazaar;;41.3193045955232;69.28315531504231;;;;;;;;;bazar
Chorsu Bazaar;;41.326766773009076;69.23501085569008;;;;;;;;;bazar
Mirabad Bazaar;;41.291005381231884;69.27480951689215;;;;;;;;;bazar
